NAME,NORTH,EAST,ELEVATION,TIMESTAMP
"1","0.000000","0.000000","0.000000",2019-11-20T13:26:34
"5540","206697.592633","153150.060805","51.006290",2019-11-20T17:11:25
"5541","206638.243257","153143.650878","50.873338",2019-11-20T17:11:27
"5542","206608.404612","153140.308048","51.108428",2019-11-20T17:11:28
"5543","206549.600019","153133.613376","51.484900",2019-11-20T17:11:30
"5544","206520.937294","153130.510319","51.721600",2019-11-20T17:11:31
"5545","206464.829993","153124.699205","52.198223",2019-11-20T17:11:33
"5546","206436.463435","153122.149531","52.441962",2019-11-20T17:11:33
"5547","206407.594161","153119.966401","52.644483",2019-11-20T17:11:35
"5548","206378.235655","153117.990998","52.884066",2019-11-20T17:11:36
"5549","206348.434787","153116.171800","53.123004",2019-11-20T17:11:37
"5550","206287.887050","153114.364630","53.582579",2019-11-20T17:11:39
"5551","206226.187058","153115.237261","54.034076",2019-11-20T17:11:40
"5552","206194.740926","153116.830087","54.361433",2019-11-20T17:11:42
"5553","206130.854814","153122.767311","54.922307",2019-11-20T17:11:44
"5554","206066.722832","153132.288438","55.446768",2019-11-20T17:11:46
"5555","206002.613544","153145.667234","55.967863",2019-11-20T17:11:48
"5556","205970.608318","153153.798465","56.191298",2019-11-20T17:11:49
"5557","205907.240656","153172.396744","56.696483",2019-11-20T17:11:50
"5558","205875.849707","153182.505112","56.955097",2019-11-20T17:11:51
"5559","205844.671984","153193.268593","57.199536",2019-11-20T17:11:53
"5560","205783.086015","153216.486617","57.745100",2019-11-20T17:11:55
"5561","205752.577973","153228.652014","58.005421",2019-11-20T17:11:56
"5562","205691.831118","153253.845511","58.551723",2019-11-20T17:11:58
"5563","205661.482650","153266.721456","58.789446",2019-11-20T17:11:59
"5564","205631.104290","153279.634993","59.002058",2019-11-20T17:12:00
"5565","205570.393576","153305.697595","59.704366",2019-11-20T17:12:01
"5566","205509.933751","153331.818177","59.931176",2019-11-20T17:12:03
"5567","205449.796266","153358.188851","60.085033",2019-11-20T17:12:05
"5568","205389.280190","153383.744572","60.400709",2019-11-20T17:12:08
"5569","205327.929719","153408.135675","61.553790",2019-11-20T17:12:10
"5570","205267.006162","153433.213491","62.084790",2019-11-20T17:12:11
"5571","205236.731701","153446.108663","62.314743",2019-11-20T17:12:13
"5572","205206.493034","153459.044496","62.533311",2019-11-20T17:12:13
"5573","205176.269447","153472.074712","62.684664",2019-11-20T17:12:14
"5574","205146.063704","153485.270931","62.776316",2019-11-20T17:12:16
"5575","205115.822798","153498.549398","62.835892",2019-11-20T17:12:17
"5576","205055.214970","153524.761955","62.767119",2019-11-20T17:12:19
"5577","205024.850868","153537.795273","62.677710",2019-11-20T17:12:20
"5578","204994.476448","153550.810892","62.496097",2019-11-20T17:12:21
"5579","204933.819061","153577.117769","61.995981",2019-11-20T17:12:23
"5580","204903.503326","153590.399146","61.722225",2019-11-20T17:12:24
"5581","204873.165666","153603.639397","61.414745",2019-11-20T17:12:25
"5582","204842.817971","153616.828139","61.108335",2019-11-20T17:12:26
"5583","204812.467070","153629.907851","60.816526",2019-11-20T17:12:27
"5584","204751.761908","153655.974452","60.226162",2019-11-20T17:12:29
"5585","204721.491322","153669.137469","59.943502",2019-11-20T17:12:30
"5586","204691.270355","153682.378597","59.682561",2019-11-20T17:12:31
"5587","204661.072198","153695.654077","59.407705",2019-11-20T17:12:32
"5588","204600.583011","153721.999121","58.812361",2019-11-20T17:12:34
"5589","204570.277040","153735.013830","58.537753",2019-11-20T17:12:35
"5590","204539.985534","153748.060804","58.256689",2019-11-20T17:12:36
"5591","204479.482038","153774.174696","57.821574",2019-11-20T17:12:38
"5592","204419.178815","153800.551844","57.455790",2019-11-20T17:12:40
"5593","204389.206071","153814.140672","57.314167",2019-11-20T17:12:41
"5594","204329.585770","153841.850021","57.101299",2019-11-20T17:12:43
"5595","204269.515252","153868.386626","56.932593",2019-11-20T17:12:45
"5596","204209.309750","153894.591770","56.925646",2019-11-20T17:12:46
"5597","204179.175919","153907.636475","56.939133",2019-11-20T17:12:48
"5598","204149.016367","153920.632848","56.985015",2019-11-20T17:12:49
"5599","204088.546171","153946.381387","57.059716",2019-11-20T17:12:51
"5600","204058.123866","153958.897925","57.063163",2019-11-20T17:12:52
"5601","203996.985389","153983.485145","57.094973",2019-11-20T17:12:54
"5602","203936.190207","154008.997273","57.162380",2019-11-20T17:12:56
"5603","203905.892272","154021.976519","57.212581",2019-11-20T17:12:57
"5604","203875.610348","154034.959153","57.244197",2019-11-20T17:12:58
"5605","203815.099682","154061.005233","57.326911",2019-11-20T17:13:00
"5606","203784.924159","154074.185313","57.386327",2019-11-20T17:13:01
"5607","203754.766539","154087.395387","57.439686",2019-11-20T17:13:02
"5608","203694.311653","154113.583280","57.510285",2019-11-20T17:13:04
"5609","203633.683193","154139.534991","57.591756",2019-11-20T17:13:06
"5610","203603.296035","154152.316949","57.668612",2019-11-20T17:13:07
"5611","203572.727301","154164.632485","57.702342",2019-11-20T17:13:08
"5612","203510.798915","154187.094520","57.729359",2019-11-20T17:13:09
"5613","203479.394014","154196.933784","57.800571",2019-11-20T17:13:11
"5614","203415.814040","154213.797588","57.809282",2019-11-20T17:13:13
"5615","203351.480069","154227.966063","57.896734",2019-11-20T17:13:15
"5616","203286.234010","154238.082171","58.015618",2019-11-20T17:13:17
"5617","203187.328669","154247.222001","58.301244",2019-11-20T17:13:19
"5618","203154.413504","154248.893327","58.472347",2019-11-20T17:13:20
